source,cluster,endpoint,n,rho,p,BH_q
scRNA,0. MSCs (CXCL12+GALNT17+),meta_z,438,0.05424462740258711,0.25727892257237583,0.4836572433819947
scRNA,0. MSCs (CXCL12+GALNT17+),abs_meta_z,438,0.08265470216477672,0.08401528702685739,0.24004367721959255
scRNA,1. MSCs (CXCL12+STMN2+),meta_z,380,0.05543280843539885,0.28109920548899686,0.4836572433819947
scRNA,1. MSCs (CXCL12+STMN2+),abs_meta_z,380,0.04715661757389339,0.35928238367935184,0.5988039727989197
scRNA,10. GMPs (DEFA1+),meta_z,303,0.006516828922348491,0.9100542688077394,0.9596081441336926
scRNA,10. GMPs (DEFA1+),abs_meta_z,303,0.03443907043196477,0.5503894338852012,0.6879867923565015
scRNA,11. Monocytes and macrophages,meta_z,560,-0.05388134437382044,0.20296792699705546,0.4836572433819947
scRNA,11. Monocytes and macrophages,abs_meta_z,560,0.013098461046477465,0.7571033478931926,0.8280536279105056
scRNA,12. Mature osteoblasts,meta_z,379,0.13326874794726482,0.00939073672814561,0.1878147345629122
scRNA,12. Mature osteoblasts,abs_meta_z,379,0.17189543780295066,0.0007781852317940946,0.007781852317940946
scRNA,13. HSCs,meta_z,699,0.03574388767767766,0.3453593445145679,0.4836572433819947
scRNA,13. HSCs,abs_meta_z,699,-0.09140113032066743,0.015638047928525693,0.07819023964262846
scRNA,14. GMPs (CDC25C+),meta_z,1147,-0.02851188353596072,0.33466187709785133,0.4836572433819947
scRNA,14. GMPs (CDC25C+),abs_meta_z,1147,-0.06610741082093564,0.025162839889090804,0.10065135955636322
scRNA,15. Chondrocytes and fibroblasts,meta_z,395,-0.05402771530767419,0.2840978904632601,0.4836572433819947
scRNA,15. Chondrocytes and fibroblasts,abs_meta_z,395,-0.02138210479789867,0.671811899677,0.7903669407964705
scRNA,16. Pre B cells,meta_z,599,-0.006580532772011322,0.8723136055946316,0.9596081441336926
scRNA,16. Pre B cells,abs_meta_z,599,-0.02461644546931619,0.5476353425366699,0.6879867923565015
scRNA,17. Mature neutrophils (LST1+),meta_z,172,0.008192951797426082,0.9150524995642997,0.9596081441336926
scRNA,17. Mature neutrophils (LST1+),abs_meta_z,172,0.010709324730026436,0.8891093233706231,0.8891093233706231
scRNA,18. Multiplets,meta_z,281,-0.054497614901188755,0.36274293253649603,0.4836572433819947
scRNA,18. Multiplets,abs_meta_z,281,0.05064630228558447,0.39769487058652425,0.6118382624408065
scRNA,19. B cells,meta_z,366,0.05499167508540609,0.2940639504217917,0.4836572433819947
scRNA,19. B cells,abs_meta_z,366,-0.16017160154713075,0.002114580688753874,0.014097204591692494
scRNA,2. ECs,meta_z,563,0.047836667163828436,0.25714016494326253,0.4836572433819947
scRNA,2. ECs,abs_meta_z,563,0.07445820014979408,0.07752337820554686,0.24004367721959255
scRNA,3. Pre-osteoblasts,meta_z,277,0.10337873164033519,0.08590815220257718,0.4836572433819947
scRNA,3. Pre-osteoblasts,abs_meta_z,277,0.08077292678492584,0.1801018499291775,0.39481064164713475
scRNA,4. Immature neutrophils,meta_z,927,0.03464487822561072,0.2920136853307424,0.4836572433819947
scRNA,4. Immature neutrophils,abs_meta_z,927,-0.04237378954109518,0.19740532082356738,0.39481064164713475
scRNA,5. T and NK cells,meta_z,505,-0.049135783143531744,0.27040996993635136,0.4836572433819947
scRNA,5. T and NK cells,abs_meta_z,505,0.012073785018253382,0.7866509465149804,0.8280536279105056
scRNA,6. Pericytes,meta_z,341,0.024318083461197414,0.6545288767334985,0.818161095916873
scRNA,6. Pericytes,abs_meta_z,341,0.08269280238719967,0.1275025214820867,0.3187563037052168
scRNA,7. SMCs,meta_z,495,0.06195865537970801,0.168719315802437,0.4836572433819947
scRNA,7. SMCs,abs_meta_z,495,0.04292517047185978,0.3405649441965934,0.5988039727989197
scRNA,8. Mature neutrophils (IL1R2+),meta_z,782,0.0018139733828699616,0.9596081441336926,0.9596081441336926
scRNA,8. Mature neutrophils (IL1R2+),abs_meta_z,782,-0.028163832271306286,0.4315881037377231,0.616554433911033
scRNA,9. Immature B cells,meta_z,517,0.049879129790064966,0.25759533466368967,0.4836572433819947
