program,omitted_study,mean_remaining,positive_remaining
scRNA,GSE181512,0.10170111150366386,4
scRNA,GSE193021,0.10788753875527317,4
scRNA,GSE226411,0.13905002226581883,5
scRNA,GSE255574,0.06923086131250888,4
scRNA,GSE288678,0.09637308905797541,4
scRNA,GSE310514,0.12551445646702095,4
scRNA,GSE55867,0.13426072190280228,5
spatial,GSE181512,0.21499404882213521,5
spatial,GSE193021,0.21104596462481454,5
spatial,GSE226411,0.27359390403373224,6
spatial,GSE255574,0.19572633179173712,5
spatial,GSE288678,0.21879416182973946,5
spatial,GSE310514,0.2637682715052313,5
spatial,GSE55867,0.2632006629423753,5
