program,study,n_genes,observed,null_mean,raw_matched_effect,standardized_effect
scRNA,GSE181512,852,1.6511862784178595,1.4873751461747793,0.1638111322430802,5.59128309746341
scRNA,GSE193021,1015,1.3174204365765028,1.1907278678430784,0.12669256873342438,3.5146402736818456
scRNA,GSE226411,913,1.5889282421532418,1.6492105744830914,-0.060282332329849586,-2.660157249466091
scRNA,GSE255574,1030,1.538603324612371,1.1799706912223609,0.35863263339001006,10.35106057862057
scRNA,GSE288678,824,0.7464396060530136,0.5506603391358027,0.19577926691721093,11.034983392664182
scRNA,GSE310514,873,0.6516398038159426,0.6307087413530049,0.020931062462937633,0.6846748256039312
scRNA,GSE55867,1115,0.4961101918965538,0.527656722048304,-0.03154653015175024,-0.7974177292604384
spatial,GSE181512,177,1.8154635252467772,1.4643044726298233,0.3511590526169539,4.259586918746273
spatial,GSE193021,183,1.6915187451852085,1.3166711873843306,0.37484755780087786,4.12535356856233
spatial,GSE226411,164,1.7248726958671936,1.7253127745198218,-0.00044007865262818413,-0.00746352876296913
spatial,GSE255574,181,1.7422450570313268,1.2754797022319844,0.46676535479934245,5.056033588647531
spatial,GSE288678,150,0.960345355721856,0.6319869811505274,0.32835837457132855,6.580423824158646
spatial,GSE310514,177,0.6554248031753449,0.5969110866569675,0.058513716518377445,1.0785088986800215
spatial,GSE55867,195,0.5072243947820403,0.4453050268865271,0.06191936789551317,0.9253586577016755
