program_source,omitted_study,mean_remaining,positive_remaining
scRNA,GSE181512,0.12902411955649687,4
scRNA,GSE193021,0.12594239368557172,4
scRNA,GSE226411,0.16241713227542695,5
scRNA,GSE255574,0.08249305685197476,4
scRNA,GSE288678,0.116180478786319,4
scRNA,GSE310514,0.1498574083333924,4
scRNA,GSE55867,0.15765977347379653,5
spatial,GSE181512,0.24176275078593298,6
spatial,GSE193021,0.224952935800394,6
spatial,GSE226411,0.29559444348654906,6
spatial,GSE255574,0.21149548916988692,6
spatial,GSE288678,0.23755105513806585,6
spatial,GSE310514,0.28818340173732143,6
spatial,GSE55867,0.286639591198346,6
