gene,k,pooled_effect,se_hk,ci_low,ci_high,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
MEIS1,7,1.1335509585418913,0.3346474677224219,0.3146981038162403,1.952403813267542,0.01472459811323771,0.0,0.0,0.3146981038162403,1.952403813267542,0.1776979304865544,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
ERAP1,7,1.1152846893445696,0.3308957187251931,0.30561203370275913,1.92495734498638,0.015033120398242363,0.0,0.0,0.30561203370275913,1.92495734498638,0.2849358549302836,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
NBAS,7,1.0400572751961403,0.323404838195136,0.24871414389883773,1.8314004064934428,0.01822964418507674,0.0,0.0,0.24871414389883773,1.8314004064934428,0.2696154334488226,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
SERINC3,7,1.0271597300613937,0.33069402080124105,0.21798061146005276,1.8363388486627348,0.020953503465216593,0.0,0.0,0.21798061146005276,1.8363388486627348,0.18223369708513412,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
AUH,7,0.9744130452281745,0.32572167874268687,0.1774008093378564,1.7714252811184927,0.024271531094078556,0.0,0.0,0.1774008093378564,1.7714252811184927,0.19802008620796385,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
EFHD2,7,-0.9847534708949713,0.33793877091346397,-1.8116598544044944,-0.15784708738544828,0.02684019312235429,0.0,0.0,-1.8116598544044944,-0.15784708738544828,0.1712392720580073,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
RAB40B,7,0.8986889886180657,0.3103357514391486,0.13932476058763055,1.6580532166485007,0.027482510372127553,0.0,0.0,0.13932476058763055,1.6580532166485007,0.2723894952710972,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
TMEM231,7,0.9576029453049628,0.33498074294086927,0.1379345954976,1.7772712951123255,0.028851513069575178,0.0,1.1297243282821536,0.1379345954976,1.7772712951123255,0.20959804494912396,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
ALDH6A1,7,0.9143177554774469,0.32030534101516894,0.1305588205623961,1.6980766903924978,0.029009256488348602,0.0,0.0,0.1305588205623961,1.6980766903924978,0.23583176084866275,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
CHRDL1,7,0.9489756033984398,0.3327988945004369,0.13464604439737304,1.7633051623995066,0.02912433843229803,0.0,4.404970244979134,0.13464604439737304,1.7633051623995066,0.2611292788306792,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
MAN2A1,7,0.9932637019645645,0.34956002895313004,0.13792112443256854,1.8486062794965603,0.029510036510127992,0.12062609093471299,5.250109826264816,-0.21249119877378453,2.1990186027029135,0.268343112194213,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
SLC30A1,7,0.8851082641509569,0.3204255974794598,0.10105507226825594,1.6691614560336578,0.03275467708367618,0.0,0.0,0.10105507226825594,1.6691614560336578,0.20387141962828975,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
IDS,7,0.9938004211374091,0.36095896144118494,0.11056566060999018,1.8770351816648279,0.03314998993668866,0.09548043044913873,5.586003813634222,-0.16886076485271373,2.156461607127532,0.1681364909350085,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
DUS3L,7,-0.90034719620526,0.3273473059557676,-1.701337198588809,-0.09935719382171093,0.0332726011340543,0.0,0.0,-1.701337198588809,-0.09935719382171093,0.15994953799427736,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
