study,cluster,n_markers,mean_rank_effect
GSE181512,Cl_0,48,0.4673462426532326
GSE181512,Cl_1,93,0.5838727733990592
GSE181512,Cl_2,43,0.6070773045906314
GSE181512,Cl_3,105,0.01951141497740994
GSE181512,Cl_4,63,0.5847693681446832
GSE193021,Cl_0,46,-0.07942108725554693
GSE193021,Cl_1,83,0.1497749694000999
GSE193021,Cl_2,46,0.08600818474629851
GSE193021,Cl_3,106,0.11476844247859792
GSE193021,Cl_4,62,0.22608852743742036
GSE226411,Cl_0,51,-0.22951328908688665
GSE226411,Cl_1,108,-0.47888402312668155
GSE226411,Cl_2,49,-0.35187521685644896
GSE226411,Cl_3,115,0.6078657348296486
GSE226411,Cl_4,72,-0.6218336767989009
GSE255574,Cl_0,51,-0.26590236686390534
GSE255574,Cl_1,107,-0.23847328983022728
GSE255574,Cl_2,49,-0.22766347663325684
GSE255574,Cl_3,116,-0.3387765251989389
GSE255574,Cl_4,74,-0.2976571245802015
GSE288678,Cl_0,50,0.24203732343540574
GSE288678,Cl_1,109,-0.027403752018320248
GSE288678,Cl_2,48,-0.18794463346736778
GSE288678,Cl_3,114,0.09895757023241679
GSE288678,Cl_4,74,-0.1666541270624166
GSE310514,Cl_0,48,0.2550962379702537
GSE310514,Cl_1,88,-0.13890240992603198
GSE310514,Cl_2,42,-0.3735883014623172
GSE310514,Cl_3,104,-0.03378962245103977
GSE310514,Cl_4,58,0.07351253507104716
GSE55867,Cl_0,48,0.17312916032357242
GSE55867,Cl_1,107,0.2933819523311761
GSE55867,Cl_2,50,-0.1258887794394197
GSE55867,Cl_3,116,-0.3094061011045475
GSE55867,Cl_4,73,0.2053469677658365
