donor,tissue,absolute_top200,positive_top100,negative_top100,absolute_top200_minus_matched_background
D01,Dermis,0.7899707367795604,0.7893706179441473,0.7814517231134878,0.002309125668449652
D02,Dermis,0.7914409536541889,0.7919849970291147,0.7834243909685087,0.004308207293523991
D03,Dermis,0.7944975490196079,0.7982817884729649,0.7794193404634581,0.0069434084967314735
B01,Bone marrow,0.7870083184789067,0.7895424836601306,0.7743227866904339,0.001856784907902309
B02,Bone marrow,0.7868891117052883,0.7878321449792038,0.7809563279857398,0.0006953084521693631
B03,Bone marrow,0.7901554515745692,0.7920889780154486,0.7812707961972667,0.0037283022133095534
U01,Umbilical cord,0.7750492424242426,0.762061348781937,0.794635769459299,-0.009535320261436664
U02,Umbilical cord,0.7785687759952465,0.7703630421865715,0.7868527926322044,-0.005216237522281064
A01,Adipose,0.7746775846702317,0.7642361853832442,0.8045932857991683,-0.011919276960784542
A02,Adipose,0.7811309417706477,0.7720729352346997,0.8054881164587048,-0.005927472296493708
A03,Adipose,0.778792632204397,0.7684909387997624,0.8064297385620914,-0.008209669563280175
