gene_set,gene
absolute_top200,DDX46
absolute_top200,TAPBP
absolute_top200,VHL
absolute_top200,AUH
absolute_top200,OLFML3
absolute_top200,ZNF585B
absolute_top200,CHRDL1
absolute_top200,DDB1
absolute_top200,CD99L2
absolute_top200,ACTR5
absolute_top200,CORO7
absolute_top200,MASP2
absolute_top200,MEIS1
absolute_top200,EPAS1
absolute_top200,RTN4RL1
absolute_top200,MIA3
absolute_top200,SERINC3
absolute_top200,PLPP3
absolute_top200,ZNF317
absolute_top200,GLG1
absolute_top200,SLC7A14
absolute_top200,NR4A2
absolute_top200,LPIN2
absolute_top200,WDR26
absolute_top200,XRRA1
absolute_top200,TNFRSF11B
absolute_top200,PDGFD
absolute_top200,ERAP1
absolute_top200,WWTR1
absolute_top200,SYDE2
absolute_top200,ARHGEF6
absolute_top200,NBAS
absolute_top200,BID
absolute_top200,HOXC10
absolute_top200,POFUT2
absolute_top200,KLHL41
absolute_top200,PDXK
absolute_top200,DUS3L
absolute_top200,SCD
absolute_top200,KIAA0319L
absolute_top200,SLC22A15
absolute_top200,ZNF844
absolute_top200,TMEM164
absolute_top200,ZNF607
absolute_top200,SIAE
absolute_top200,CYB561A3
absolute_top200,COL3A1
absolute_top200,CPNE7
absolute_top200,SSX2IP
absolute_top200,CIPC
absolute_top200,VWA5A
absolute_top200,ZNF75D
absolute_top200,RAB40B
absolute_top200,SLC25A40
absolute_top200,CYTH3
absolute_top200,MCMDC2
absolute_top200,TMEM231
absolute_top200,SLC30A1
absolute_top200,METTL4
absolute_top200,SLC2A10
absolute_top200,AARSD1
absolute_top200,GANAB
absolute_top200,VSTM4
absolute_top200,SEMA4B
absolute_top200,CD38
absolute_top200,WDR37
absolute_top200,PCDHGA12
absolute_top200,DYRK2
absolute_top200,PTGFRN
absolute_top200,SET
absolute_top200,KCTD16
absolute_top200,GPN3
absolute_top200,FBXO30
absolute_top200,CES2
absolute_top200,IDS
absolute_top200,PCDHB7
absolute_top200,MFSD6
absolute_top200,LONP2
absolute_top200,LRCH1
absolute_top200,IWS1
absolute_top200,MAP7D1
absolute_top200,TRAIP
absolute_top200,NBL1
absolute_top200,MAVS
absolute_top200,CEP68
absolute_top200,HLX
absolute_top200,PIP5K1A
absolute_top200,HHIP
absolute_top200,CD109
absolute_top200,RND2
absolute_top200,FBXW11
absolute_top200,FAM114A1
absolute_top200,KIT
absolute_top200,HP1BP3
absolute_top200,LIG4
absolute_top200,STEAP2
absolute_top200,TAF9
absolute_top200,METTL3
absolute_top200,ITGA10
absolute_top200,TSHZ3
absolute_top200,MCFD2
absolute_top200,CITED2
absolute_top200,TMX4
absolute_top200,ZNF778
absolute_top200,PABPN1
absolute_top200,EDNRB
absolute_top200,ATG16L2
absolute_top200,SOD3
absolute_top200,CHP1
absolute_top200,DHCR24
absolute_top200,EFHD2
absolute_top200,GZF1
absolute_top200,TBC1D4
absolute_top200,TELO2
absolute_top200,FZD8
absolute_top200,TSPAN7
absolute_top200,ARSD
absolute_top200,BTN3A2
absolute_top200,CWF19L2
absolute_top200,BFAR
absolute_top200,PCDHGA11
absolute_top200,C2CD5
absolute_top200,ATAD3A
absolute_top200,HSPA12B
absolute_top200,TSEN2
absolute_top200,VWCE
absolute_top200,MAN2A1
absolute_top200,CXCL14
absolute_top200,RAB42
absolute_top200,RIPK3
absolute_top200,ELMO2
absolute_top200,OSBP
absolute_top200,SLC35D1
absolute_top200,ZNF436
absolute_top200,COG5
absolute_top200,TRANK1
absolute_top200,SIPA1
absolute_top200,ZNF138
absolute_top200,GBP2
absolute_top200,ACOX1
absolute_top200,FBN2
absolute_top200,PLCL1
absolute_top200,SEPHS2
absolute_top200,EEF2KMT
absolute_top200,TMEM248
absolute_top200,ADHFE1
absolute_top200,NONO
absolute_top200,PARPBP
absolute_top200,RAB3D
absolute_top200,ST3GAL5
absolute_top200,ZFP36L2
absolute_top200,ADGRA3
absolute_top200,MOCOS
absolute_top200,SEZ6L2
absolute_top200,NT5E
absolute_top200,SLC35C1
absolute_top200,STC1
absolute_top200,GAS2L1
absolute_top200,DHX40
absolute_top200,FAM222B
absolute_top200,EPHX1
absolute_top200,EXT1
absolute_top200,PTAFR
absolute_top200,HHAT
absolute_top200,SRXN1
absolute_top200,RABEP1
absolute_top200,CHCHD5
absolute_top200,IFT172
absolute_top200,ZDHHC9
absolute_top200,SGPP1
absolute_top200,PFKP
absolute_top200,TMCC1
absolute_top200,OXCT1
absolute_top200,APCDD1L
absolute_top200,PIK3C3
