gene,k,pooled_effect,se_hk,ci_low,ci_high,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q,loo_direction_stable,conserved
DDX46,7,-1.477395455988611,0.5140720711773766,-2.7352844992951795,-0.21950641268204296,0.028282154025108794,0.0,0.0,-2.7352844992951795,-0.21950641268204296,0.32302216527822847,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
VHL,7,1.1370069535494702,0.42145290269372826,0.10574885124873501,2.1682650558502052,0.03567901533153971,0.0,0.0,0.10574885124873501,2.1682650558502052,0.28316964720157534,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TAPBP,6,1.3802987250095193,0.4882069417861976,0.1253228284223642,2.6352746215966745,0.03679209751313048,0.0,0.0,0.1253228284223642,2.6352746215966745,0.34916993154829784,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
AUH,7,1.0058200405408648,0.38239775875533405,0.07012643279115927,1.9415136482905704,0.03904403583681158,0.0,0.0,0.07012643279115927,1.9415136482905704,0.2729270573566185,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
OLFML3,7,-1.0555587524511494,0.40420416012706806,-2.0446107021481748,-0.0665068027541238,0.04004251631105571,0.0,0.0,-2.0446107021481748,-0.0665068027541238,0.3446162847513909,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
CHRDL1,7,0.9801382186623461,0.3780424969408668,0.05510155266129968,1.9051748846633925,0.04106457252067203,0.0,0.0,0.05510155266129968,1.9051748846633925,0.35248265630073944,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
DDB1,7,1.0220853469155846,0.39496495732221804,0.05564091205687849,1.9885297817742908,0.04133459196018034,0.0,0.0,0.05564091205687849,1.9885297817742908,0.3254761118535182,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
ACTR5,7,-0.8682405714697742,0.3410863447267841,-1.702848790645464,-0.033632352294084455,0.04375429213413468,0.0,0.0,-1.702848790645464,-0.033632352294084455,0.17302872351056622,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
MEIS1,7,0.9525619668513269,0.3762763300974528,0.0318469554305294,1.8732769782721244,0.04458638449430051,0.0,0.0,0.0318469554305294,1.8732769782721244,0.2187709983492866,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
EPAS1,7,1.1213402198948315,0.4460507367959679,0.029893385816827767,2.212787053972835,0.045660055025514124,0.0,0.0,0.029893385816827767,2.212787053972835,0.33530753318316875,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
