cohort,sample,case,score
GSE35958,GSM878100,0,0.02871286976289067
GSE35958,GSM878101,0,0.029039923831068903
GSE35958,GSM878102,0,0.005315928613607412
GSE35958,GSM878103,0,0.016069427603209507
GSE35958,GSM878104,1,0.053580373950633864
GSE35958,GSM878105,1,0.03152447992002916
GSE35958,GSM878106,1,0.04457257166416895
GSE35958,GSM878107,1,0.0744907206248101
GSE35958,GSM878108,1,0.05071218788708842
GSE230665,GSM7230904,0,0.008307278093228732
GSE230665,GSM7230905,0,0.0014753614091649325
GSE230665,GSM7230906,0,-0.0015116071687797383
GSE230665,GSM7230907,1,0.002664472335014989
GSE230665,GSM7230908,1,0.01628886856545586
GSE230665,GSM7230909,1,-0.008533508778478693
GSE230665,GSM7230910,1,0.002491737556736373
GSE230665,GSM7230911,1,0.002608231497265523
GSE230665,GSM7230912,1,-0.00134563822722511
GSE230665,GSM7230913,1,-0.03399807319108772
GSE230665,GSM7230914,1,-0.03315133261348746
GSE230665,GSM7230915,1,-0.025633079543888826
GSE230665,GSM7230916,1,0.005861495804662664
GSE230665,GSM7230917,1,0.0032944008251036827
GSE230665,GSM7230918,1,0.007928062881899622
