collection,pathway,n_genes,rank_enrichment_z,p,BH_q
c2,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,275,-7.188746893050849,6.539279308044698e-13,6.702761290745816e-10
c2,REACTOME_MRNA_SPLICING,209,-6.802397871000085,1.0289900978986013e-11,5.273574251730332e-09
c2,REACTOME_RRNA_PROCESSING,198,-6.6120166802731255,3.791452389754722e-11,1.2954128998328635e-08
h,HALLMARK_MYC_TARGETS_V1,195,-6.490402363632692,8.561323499400935e-11,2.1938391467214897e-08
c2,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,210,-5.35329799040596,8.637014659322161e-08,1.770588005161043e-05
c2,REACTOME_CELL_CYCLE_CHECKPOINTS,240,-5.291689494041487,1.2119764324677635e-07,2.070459738799096e-05
c2,REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,59,-5.250077467063652,1.52050500206661e-07,2.2264537530261075e-05
c2,REACTOME_G2_M_CHECKPOINTS,121,-5.0801221441666815,3.772179367262869e-07,4.833104814305551e-05
c2,REACTOME_CELL_CYCLE_MITOTIC,468,-4.86419608566386,1.1492681459810652e-06,0.00013088887218117687
c2,REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,66,-4.769036034087431,1.8512559598288575e-06,0.00018975373588245789
c2,REACTOME_DNA_REPLICATION,124,-4.681094609883817,2.853649832253961e-06,0.00026590827982366454
c2,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,25,-4.6487369145390725,3.3401972768056326e-06,0.0002853085173938145
h,HALLMARK_E2F_TARGETS,198,-4.5370355415430135,5.705323626478028e-06,0.0004345821072759174
c2,REACTOME_M_PHASE,327,-4.517013840077516,6.2720155879503576e-06,0.0004345821072759174
c2,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,56,-4.514081716504899,6.3597381552573285e-06,0.0004345821072759174
c2,REACTOME_DNA_REPAIR,279,-4.474597748537798,7.655836851853563e-06,0.0004904520483218689
c2,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,165,-4.32990677239445,1.4917999371737364e-05,0.0008459567275571501
c2,REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,15,4.3266480693495195,1.5142067674975236e-05,0.0008459567275571501
c2,REACTOME_CHOLESTEROL_BIOSYNTHESIS,26,4.318924002505836,1.5681149096181318e-05,0.0008459567275571501
c2,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,132,-4.25247413687667,2.1143333386200988e-05,0.0010391270343913903
c2,REACTOME_SYNTHESIS_OF_DNA,107,-4.242543320456718,2.210143974861191e-05,0.0010391270343913903
h,HALLMARK_MYC_TARGETS_V2,57,-4.228902980995538,2.3485318626232396e-05,0.0010391270343913903
c2,REACTOME_MITOTIC_G2_G2_M_PHASES,177,-4.227455390686972,2.3636026308156742e-05,0.0010391270343913903
c2,REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,57,-4.220938308483514,2.4330779341847183e-05,0.0010391270343913903
c2,REACTOME_HOMOLOGY_DIRECTED_REPAIR,102,-4.197458469829918,2.699438997488588e-05,0.001106769988970321
c2,REACTOME_KINESINS,42,-3.998306975043644,6.380307089568636e-05,0.0025153133718491738
c2,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,66,-3.9707505906032625,7.165180511219947e-05,0.0026242773428843255
c2,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,18,-3.9706475991942822,7.16875761958645e-05,0.0026242773428843255
c2,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,143,3.9469189072478272,7.916728826396096e-05,0.0027981541541572405
c2,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,113,-3.8923599039192793,9.927930106222376e-05,0.003376043450489563
c2,REACTOME_MITOTIC_PROMETAPHASE,188,-3.885545522885591,0.00010210472874651362,0.003376043450489563
c2,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,127,-3.8601391402360696,0.00011332833237463371,0.003557706241066134
c2,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,81,3.8575411591342705,0.00011454078629773894,0.003557706241066134
c2,REACTOME_UCH_PROTEINASES,71,-3.81451816160078,0.000136458207155888,0.004113813598081918
