human,rat
A1BG,A1BG
A2M,A2M
AADAC,AADAC
AAMP,AAMP
AANAT,AANAT
AARS1,AARS1
ABAT,ABAT
ABCA1,ABCA1
ABCA2,ABCA2
ABCA3,ABCA3
ABCB7,ABCB7
ABCF1,ABCF1
ABCA4,ABCA4
ABL1,ABL1
AOC1,AOC1
ABL2,ABL2
ABO,ABO
ABR,ABR
ACACA,ACACA
ACACB,ACACB
ACADL,ACADL
ACADM,ACADM
ACADS,ACADS
ACADSB,ACADSB
ACADVL,ACADVL
ACAT1,ACAT1
ACAT2,ACAT2
ASIC2,ASIC2
ASIC1,ASIC1
ACHE,ACHE
ACLY,ACLY
ACO1,ACO1
ACR,ACR
ACO2,ACO2
ACOX1,ACOX1
ACP1,ACP1
ACP2,ACP2
ACP5,ACP5
ACP3,ACP3
ACRV1,ACRV1
ACTA1,ACTA1
ACTA2,ACTA2
ACTB,ACTB
ACTC1,ACTC1
ACTG1,ACTG1
ACTG2,ACTG2
ACTN4,ACTN4
ACTL6A,ACTL6A
ACTN1,ACTN1
ACTN2,ACTN2
ACTN3,ACTN3
ACVR1,ACVR1
ACVR1B,ACVR1B
ACVR2A,ACVR2A
ACVR2B,ACVR2B
ACVRL1,ACVRL1
ACY1,ACY1
ACYP1,ACYP1
ACYP2,ACYP2
ADA,ADA
ADAM8,ADAM8
ADAM10,ADAM10
ADAR,ADAR
ADARB1,ADARB1
ADARB2,ADARB2
ADCY1,ADCY1
ADCY2,ADCY2
ADCY3,ADCY3
ADCY5,ADCY5
ADCY6,ADCY6
ADCY7,ADCY7
ADCY8,ADCY8
ADCY9,ADCY9
ADCYAP1,ADCYAP1
ADCYAP1R1,ADCYAP1R1
ADD1,ADD1
ADD2,ADD2
ADD3,ADD3
PLIN2,PLIN2
ADH1C,ADH1C
ADH4,ADH4
ADH5,ADH5
ADH6,ADH6
ADH7,ADH7
ADK,ADK
ADM,ADM
ADORA1,ADORA1
ADORA2A,ADORA2A
ADORA2B,ADORA2B
ADORA3,ADORA3
ADPRH,ADPRH
PARP1,PARP1
PARP4,PARP4
ADRA1D,ADRA1D
ADRA1B,ADRA1B
ADRA1A,ADRA1A
ADRA2A,ADRA2A
ADRA2B,ADRA2B
ADRA2C,ADRA2C
ADRB1,ADRB1
ADRB2,ADRB2
ADRB3,ADRB3
GRK2,GRK2
GRK3,GRK3
ADSL,ADSL
ADSS2,ADSS2
AP2A1,AP2A1
AP2A2,AP2A2
AP1B1,AP1B1
AP2B1,AP2B1
AP1G1,AP1G1
AEBP1,AEBP1
TLE5,TLE5
CRISP1,CRISP1
AFM,AFM
AFP,AFP
AGA,AGA
ACAN,ACAN
AGER,AGER
AGL,AGL
AGRP,AGRP
JAG1,JAG1
AGT,AGT
AGTR1,AGTR1B
AGTR2,AGTR2
APLNR,APLNR
AGXT,AGXT
NR0B1,NR0B1
AHCY,AHCY
AHR,AHR
AHSG,AHSG
AIF1,AIF1
CRYBG1,CRYBG1
AK1,AK1
AK2,AK2
AK4,AK4
AKT1,AKT1
AKT2,AKT2
ALAD,ALAD
ALAS1,ALAS1
ALAS2,ALAS2
ALB,ALB
ALCAM,ALCAM
ABCD1,ABCD1
ALDH2,ALDH2
ALDH3A1,ALDH3A1
ALDH1B1,ALDH1B1
ALDH1A3,ALDH1A3
ALDH3B1,ALDH3B1
ALDH3B2,ALDH3B2
ALDH9A1,ALDH9A1
ALDH3A2,ALDH3A2
ABCD2,ABCD2
ALDOA,ALDOA
ALDOB,ALDOB
ALDOC,ALDOC
AKR1B1,AKR1B1
ALK,ALK
ALOX12,ALOX12
ALOX5,ALOX5
ALOX5AP,ALOX5AP
ALOX12B,ALOX12B
ALOX15,ALOX15
ALOX15B,ALOX15B
ALPI,ALPI
ALPL,ALPL
ALX3,ALX3
AMBN,AMBN
AMBP,AMBP
AMD1,AMD1
AMELX,AMELX
AMFR,AMFR
AMH,AMH
